source,target,value
195475105,86221475,42.77
187773078,461410856,35.33
197504076,274153775,32.76
187773078,6581292,35.33
187773078,117674417,35.33
88323281,18951737,33.65
197504076,83943787,32.76
197504076,155661154,32.76
88323281,46831674,33.65
195475105,125120339,42.77
88323281,8088112,33.65
197504076,116498875,32.76
187773078,160237722,35.33
197504076,124528830,32.76
187773078,69592091,35.33
197504076,226629405,32.76
187773078,151338729,35.33
187773078,259842341,35.33
197504076,117674417,32.76
197504076,131613362,32.76
187773078,17868918,35.33
197504076,220368467,32.76
195475105,17759158,42.77
88323281,117901353,33.65
88323281,69592091,33.65
187773078,195475105,35.33
195475105,394263193,42.77
195475105,34428380,42.77
195475105,461410856,42.77
195475105,158419434,42.77
197504076,187773078,32.76
195475105,153226312,42.77
197504076,70492333,32.76
88323281,19358562,33.65
88323281,439788025,33.65
187773078,157829215,35.33
197504076,283306479,32.76
195475105,254839786,42.77
88323281,43003845,33.65
197504076,31331740,32.76
197504076,145845459,32.76
195475105,28465635,42.77
88323281,463952369,33.65
88323281,53222305,33.65
197504076,43003845,32.76
195475105,204317520,42.77
88323281,186212304,33.65
195475105,56860418,42.77
88323281,276706356,33.65
197504076,88097807,32.76
88323281,18996905,33.65
88323281,280935165,33.65
187773078,116036694,35.33
88323281,19705747,33.65
88323281,155661154,33.65
195475105,83943787,42.77
195475105,69592091,42.77
197504076,189875309,32.76
88323281,220068522,33.65
88323281,16870853,33.65
195475105,88323281,42.77
88323281,31331740,33.65
88323281,115221382,33.65
88323281,152388029,33.65
187773078,22462180,35.33
187773078,107830991,35.33
88323281,6581292,33.65
197504076,134940306,32.76
197504076,117901353,32.76
88323281,116036694,33.65
197504076,72818790,32.76
195475105,14925700,42.77
88323281,109740608,33.65
195475105,18996905,42.77
88323281,170460311,33.65
195475105,276308596,42.77
197504076,19493072,32.76
88323281,172883064,33.65
197504076,55033682,32.76
195475105,112939321,42.77
88323281,117674417,33.65
187773078,179138862,35.33
195475105,270449528,42.77
88323281,40981798,33.65
88323281,28465635,33.65
197504076,196327549,32.76
187773078,262340283,35.33
197504076,26929220,32.76
197504076,236184723,32.76
88323281,276577539,33.65
187773078,158419434,35.33
197504076,276706356,32.76
88323281,153226312,33.65
197504076,27633075,32.76
88323281,233248636,33.65
195475105,213777144,42.77
187773078,276706356,35.33
187773078,430313102,35.33
187773078,280935165,35.33
88323281,179138862,33.65
195475105,121533789,42.77
187773078,8088112,35.33
197504076,250340951,32.76
197504076,203338499,32.76
187773078,254839786,35.33
88323281,83943787,33.65
88323281,299715516,33.65
195475105,116498875,42.77
88323281,22462180,33.65
195475105,8088112,42.77
197504076,258140947,32.76
187773078,430268163,35.33
187773078,18996905,35.33
197504076,100581193,32.76
197504076,94621855,32.76
195475105,18951737,42.77
187773078,15150609,35.33
197504076,17868918,32.76
187773078,529007327,35.33
195475105,259842341,42.77
195475105,274153775,42.77
197504076,112939321,32.76
195475105,116036694,42.77
197504076,358775055,32.76
88323281,282206645,33.65
195475105,406628822,42.77
195475105,439788025,42.77
88323281,83417972,33.65
88323281,274153775,33.65
195475105,226629405,42.77
88323281,400689940,33.65
195475105,17868918,42.77
195475105,103598216,42.77
187773078,112939321,35.33
195475105,113058991,42.77
197504076,238201669,32.76
197504076,158419434,32.76
88323281,257236842,33.65
195475105,307458983,42.77
195475105,299715516,42.77
88323281,123371682,33.65
88323281,163238842,33.65
88323281,94621855,33.65
197504076,204140367,32.76
88323281,14925700,33.65
88323281,158419434,33.65
88323281,67864340,33.65
88323281,121533789,33.65
88323281,195475105,33.65
88323281,125120339,33.65
195475105,276706356,42.77
187773078,204140367,35.33
88323281,31414569,33.65
88323281,17868918,33.65
197504076,19358562,32.76
197504076,28465635,32.76
197504076,116036694,32.76
187773078,189875309,35.33
88323281,279787626,33.65
88323281,236184723,33.65
197504076,17675120,32.76
195475105,15150609,42.77
88323281,226629405,33.65
195475105,40981798,42.77
197504076,204317520,32.76
88323281,112939321,33.65
88323281,200559228,33.65
197504076,46209291,32.76
197504076,280935165,32.76
187773078,34428380,35.33
88323281,270449528,33.65
197504076,121533789,32.76
197504076,109740608,32.76
88323281,21548772,33.65
197504076,307458983,32.76
195475105,19358562,42.77
195475105,133055665,42.77
195475105,297801196,42.77
88323281,30971165,33.65
197504076,83417972,32.76
88323281,238201669,33.65
197504076,152388029,32.76
197504076,170167167,32.76
88323281,100581193,33.65
88323281,17675120,33.65
197504076,17116707,32.76
88323281,26929220,33.65
197504076,22462180,32.76
88323281,151338729,33.65
197504076,239144776,32.76
187773078,43003845,35.33
79797834,9973842,58.61
79797834,14551276,58.61
79797834,17293897,58.61
79797834,22879382,58.61
79797834,23483324,58.61
22879382,93906304,30.07
79797834,30204310,58.61
22879382,79797834,30.07
79797834,37977732,58.61
79797834,93906304,58.61
79797834,111615736,58.61
100318079,70492333,49.89
100318079,120599128,49.89
100318079,21146135,49.89
7860742,7861312,51.46
7860742,794186,51.46
7860742,16079941,51.46
20273398,87759396,42.17
20273398,14303746,42.17
16098603,18445879,38.24
17759701,16583672,41.58
20273398,1065921,42.17
20273398,15913,42.17
16098603,18666844,38.24
7860742,172959279,51.46
20273398,10350,42.17
7860742,14303746,51.46
20273398,28202547,42.17
17759701,15913,41.58
20273398,55656369,42.17
7860742,7081402,51.46
7860742,16799897,51.46
20273398,16799897,42.17
20273398,756379,42.17
7860742,15575251,51.46
20273398,18927441,42.17
17759701,18069427,41.58
16098603,14412605,38.24
7860742,60101131,51.46
20273398,7385102,42.17
16098603,14424667,38.24
20273398,18709570,42.17
16098603,15665127,38.24
16098603,28202547,38.24
20273398,14165096,42.17
17759701,280725732,41.58
7860742,21158690,51.46
20273398,7861312,42.17
16098603,7377812,38.24
17759701,1065921,41.58
7860742,7453822,51.46
20273398,14464369,42.17
20273398,96747353,42.17
7860742,15661871,51.46
16098603,14111650,38.24
17759701,10350,41.58
17759701,7861312,41.58
20273398,3462421,42.17
17759701,681813,41.58
7860742,15666380,51.46
17759701,18927441,41.58
7860742,18709570,51.46
20273398,43662236,42.17
20273398,15666380,42.17
20273398,28521141,42.17
17759701,15575251,41.58
20273398,51246108,42.17
20273398,306472866,42.17
20273398,20661527,42.17
20273398,224809136,42.17
7860742,55656369,51.46
20273398,17759701,42.17
16098603,16079941,38.24
7860742,18069427,51.46
16098603,14303746,38.24
7860742,20106852,51.46
7860742,16908436,51.46
17759701,18125335,41.58
17759701,48370736,41.58
7860742,16894839,51.46
7860742,16583672,51.46
7860742,15913,51.46
20273398,48370736,42.17
20273398,14589257,42.17
7860742,681813,51.46
7860742,10350,51.46
20273398,21158690,42.17
17759701,7860742,41.58
16098603,6068612,38.24
7860742,48370736,51.46
20273398,130897520,42.17
16098603,23559552,38.24
16098603,7860742,38.24
16098603,21158690,38.24
17759701,143244854,41.58
20273398,127569781,42.17
20273398,467658266,42.17
20273398,5980142,42.17
20273398,31808762,42.17
16098603,58714972,38.24
20273398,280725732,42.17
17759701,16079941,41.58
16098603,48370736,38.24
7860742,7377812,51.46
16098603,756379,38.24
7860742,28202547,51.46
16098603,16626187,38.24
16098603,352226153,38.24
7860742,20273398,51.46
16098603,7861312,38.24
20273398,7860742,42.17
16098603,7079062,38.24
7860742,14326533,51.46
16098603,20747741,38.24
16098603,20747847,38.24
16098603,14464369,38.24
7860742,16786977,51.46
7860742,16098603,51.46
20273398,16038438,42.17
20273398,126099878,42.17
16098603,16038438,38.24
17759701,16098603,41.58
20273398,15575251,42.17
7860742,143244854,51.46
7860742,14464369,51.46
16098603,1065921,38.24
7860742,1183041,51.46
16098603,18849313,38.24
16098603,18709570,38.24
17759701,16799897,41.58
20273398,18666844,42.17
20273398,126042901,42.17
20273398,308324295,42.17
17759701,14589257,41.58
17759701,16908436,41.58
16098603,15913,38.24
20273398,15643370,42.17
16098603,51162310,38.24
16098603,1183041,38.24
7860742,14589257,51.46
7860742,17759701,51.46
16098603,18069427,38.24
16098603,14888584,38.24
20273398,62050341,42.17
17759701,20273398,41.58
20273398,194889318,42.17
20273398,20747741,42.17
16098603,16786977,38.24
7860742,18927441,51.46
7860742,18125335,51.46
16098603,14326533,38.24
7860742,179278975,51.46
20273398,14311802,42.17
16098603,19049747,38.24
16098603,87759396,38.24
16098603,31808762,38.24
7860742,9199472,51.46
16098603,212018296,38.24
7860742,1065921,51.46
20273398,20747847,42.17
20471349,15838599,72.79
20471349,24542441,72.79
20471349,106708586,72.79
20471349,324546502,72.79
20471349,198591276,72.79
20471349,19311729,72.79
20471349,57333800,72.79
20471349,342943472,72.79
20471349,338517106,72.79
20471349,203279955,72.79
20471349,50453498,72.79
20471349,316797838,72.79
20471349,324544865,72.79
20471349,290656947,72.79
20471349,156176094,72.79
20471349,260426661,72.79
20471349,258568696,72.79
266464616,12040102,54.34
266464616,17384099,54.34
266464616,1435461,54.34
266464616,14693823,54.34
266464616,14807898,54.34
266464616,8295072,54.34
266464616,11348282,54.34
266464616,306128912,54.34
266464616,17217640,54.34
266464616,19653925,54.34
266464616,21436960,54.34
266464616,131663151,54.34
266464616,15165493,54.34
266464616,24244836,54.34
266464616,16677622,54.34
266464616,15431856,54.34
3359851,16265412,66.64
3359851,50393960,66.64
3359851,41494136,66.64
3359851,20567578,66.64
3359851,19663597,66.64
3359851,17176990,66.64
3359851,14484504,66.64
3359851,16264063,66.64
3359851,189234283,66.64
3359851,20950208,66.64
3359851,7098022,66.64
3359851,63273064,66.64
3359851,132249368,66.64
3359851,34068984,66.64
3359851,25071725,66.64
3359851,2260771,66.64
3359851,41648744,66.64
3359851,76774950,66.64
3359851,49666201,66.64
3359851,15775181,66.64
3359851,14456842,66.64
3359851,18208354,66.64
3359851,14192988,66.64
3359851,42579112,66.64
3359851,29758446,66.64
3359851,114115460,66.64
3359851,14743923,66.64
3359851,4219131,66.64
3359851,268479669,66.64
3359851,236719823,66.64
3359851,207936757,66.64
3359851,28889701,66.64
3359851,61336370,66.64
3359851,19136295,66.64
3359851,17738564,66.64
3359851,14239780,66.64
3359851,54319516,66.64
3359851,18742444,66.64
3359851,16507381,66.64
3359851,20621747,66.64
3359851,175624200,66.64
3359851,19490867,66.64
3359851,243370113,66.64
22841103,14691709,31.0
22841103,20436922,31.0
3359851,27531390,66.64
3359851,24585498,66.64
22841103,60784126,31.0
3359851,34068984,66.64
3359851,11167502,66.64
3359851,20055740,66.64
3359851,10671602,66.64
3359851,20536157,66.64
3359851,10228272,66.64
22841103,82030021,31.0
3359851,63485337,66.64
269485905,79051374,31.69
3359851,32387419,66.64
3359851,20436922,66.64
22841103,6095832,31.0
3359851,60784126,66.64
22841103,49227164,31.0
3359851,59454817,66.64
269485905,82030021,31.69
22841103,131926467,31.0
22841103,3359851,31.0
269485905,80335807,31.69
3359851,41692369,66.64
3359851,101859065,66.64
269485905,101859065,31.69
22841103,91408302,31.0
3359851,17530721,66.64
3359851,175624200,66.64
3359851,8369072,66.64
3359851,22841103,66.64
22841103,32387419,31.0
3359851,125481462,66.64
269485905,34068984,31.69
22841103,175624200,31.0
22841103,10671602,31.0
269485905,25904310,31.69
22841103,20055740,31.0
3359851,131926467,66.64
22841103,8369072,31.0
22841103,20235246,31.0
22841103,15222083,31.0
3359851,15222083,66.64
269485905,35399002,31.69
3359851,192969516,66.64
22841103,24595743,31.0
22841103,95222877,31.0
3359851,15719227,66.64
22841103,24585498,31.0
22841103,35399002,31.0
3359851,26173611,66.64
22841103,79051374,31.0
22841103,22638140,31.0
22841103,17530721,31.0
22841103,15719227,31.0
22841103,101859065,31.0
22841103,11928542,31.0
3359851,91408302,66.64
22841103,59454817,31.0
22841103,34068984,31.0
22841103,27531390,31.0
3359851,14691709,66.64
269485905,55822030,31.69
269485905,217550112,31.69
3359851,24595743,66.64
269485905,15989935,31.69
3359851,11928542,66.64
3359851,15439395,66.64
3359851,811377,66.64
20471349,337952973,72.79
18581803,5442012,61.14
5442012,250303199,95.39
5442012,341840097,95.39
3359851,114115460,66.64
5442012,259074185,95.39
5442012,21075893,95.39
20471349,238308325,72.79
18581803,341840097,61.14
20471349,69314323,72.79
20471349,93905958,72.79
5442012,3359851,95.39
5442012,107418464,95.39
5442012,47495471,95.39
18581803,42164376,61.14
5442012,31618280,95.39
3359851,292970754,66.64
18581803,22565101,61.14
18581803,249518215,61.14
20471349,288231953,72.79
18581803,415711683,61.14
18581803,286012612,61.14
20471349,103661402,72.79
20471349,72156360,72.79
18581803,46762510,61.14
3359851,148497957,66.64
18581803,3359851,61.14
18581803,61598133,61.14
5442012,18313840,95.39
3359851,93905958,66.64
3359851,59414975,66.64
5442012,16464746,95.39
3359851,252882791,66.64
20471349,309325161,72.79
107418464,121258930,38.72
20471349,115313263,72.79
20471349,362626342,72.79
5442012,384388981,95.39
18581803,50901147,61.14
3359851,7801032,66.64
3359851,15775181,66.64
5442012,499839056,95.39
5442012,207752295,95.39
20471349,446023451,72.79
5442012,285272807,95.39
3359851,121258930,66.64
20471349,121258930,72.79
20471349,18581803,72.79
5442012,157652825,95.39
18581803,207752295,61.14
5442012,22565101,95.39
5442012,28478859,95.39
18581803,59414975,61.14
20471349,326659062,72.79
20471349,17564647,72.79
20471349,249518215,72.79
3359851,31353077,66.64
3359851,18742444,66.64
18581803,157652825,61.14
3359851,63787760,66.64
20471349,146155608,72.79
18581803,34771668,61.14
3359851,14180231,66.64
3359851,187744415,66.64
18581803,14503124,61.14
18581803,23057107,61.14
5442012,36113543,95.39
18581803,258203336,61.14
18581803,146155608,61.14
18581803,155976326,61.14
3359851,93031021,66.64
20471349,422253889,72.79
18581803,15775181,61.14
5442012,28281437,95.39
3359851,60725654,66.64
5442012,15520280,95.39
3359851,24742040,66.64
3359851,15122553,66.64
20471349,277139373,72.79
5442012,415711683,95.39
5442012,310233571,95.39
5442012,24942585,95.39
3359851,34771668,66.64
18581803,14903310,61.14
18581803,16563442,61.14
18581803,18742444,61.14
5442012,34771668,95.39
20471349,252882791,72.79
18581803,20880546,61.14
18581803,325106566,61.14
20471349,433771509,72.79
107418464,27855118,38.72
3359851,12513472,66.64
3359851,15693493,66.64
18581803,93031021,61.14
5442012,104354609,95.39
5442012,42164376,95.39
20471349,15070932,72.79
3359851,17140787,66.64
3359851,20880546,66.64
20471349,28478859,72.79
5442012,198876913,95.39
18581803,27855118,61.14
5442012,18742444,95.39
107418464,16464746,38.72
5442012,121258930,95.39
3359851,18313840,66.64
107418464,46423291,38.72
3359851,5442012,66.64
5442012,20471349,95.39
20471349,298757008,72.79
18581803,47495471,61.14
20471349,210731960,72.79
18581803,26800967,61.14
18581803,262775327,61.14
18581803,21840874,61.14
3359851,294198566,66.64
5442012,18581803,95.39
3359851,290097288,66.64
18581803,84043660,61.14
5442012,5623612,95.39
18581803,104354609,61.14
18581803,18281536,61.14
18581803,538698377,61.14
3359851,46423291,66.64
3359851,16464746,66.64
3359851,17719233,66.64
18581803,61853583,61.14
20471349,47495471,72.79
5442012,20880546,95.39
5442012,316604582,95.39
107418464,250303199,38.72
18581803,24942585,61.14
18581803,17803303,61.14
3359851,22565101,66.64
18581803,31618280,61.14
20471349,18313840,72.79
20471349,281159810,72.79
20471349,262775327,72.79
3359851,27855118,66.64
20471349,127935456,72.79
18581803,44409315,61.14
18581803,15653423,61.14
3359851,146155608,66.64
5442012,286012612,95.39
5442012,20274104,95.39
5442012,146155608,95.39
5442012,307642294,95.39
18581803,69314323,61.14
3359851,157652825,66.64
20471349,67818595,72.79
18581803,93905958,61.14
18581803,71606873,61.14
20471349,26800967,72.79
20471349,14180231,72.79
5442012,59414975,95.39
18581803,320463544,61.14
18581803,45509346,61.14
5442012,26978430,95.39
20471349,245394117,72.79
5442012,309325161,95.39
18581803,250303199,61.14
18581803,288231953,61.14
5442012,17586739,95.39
18581803,46241569,61.14
20471349,285272807,72.79
18581803,17140787,61.14
5442012,61598133,95.39
18581803,14180231,61.14
18581803,15520280,61.14
18581803,39547783,61.14
3359851,12044602,66.64
20471349,310233571,72.79
3359851,304679484,66.64
3359851,155976326,66.64
18581803,168884851,61.14
5442012,17803303,95.39
18581803,16464746,61.14
5442012,433771509,95.39
18581803,46423291,61.14
5442012,24742040,95.39
3359851,18281536,66.64
5442012,20323999,95.39
5442012,446023451,95.39
5442012,15857157,95.39
18581803,316604582,61.14
20471349,341840097,72.79
20471349,23215572,72.79
18581803,26280712,61.14
5442012,84043660,95.39
18581803,20471349,61.14
3359851,15002416,66.64
5442012,241214783,95.39
107418464,3359851,38.72
20471349,21840874,72.79
3359851,84043660,66.64
18581803,121258930,61.14
18581803,307642294,61.14
5442012,61853583,95.39
5442012,14180231,95.39
5442012,17564647,95.39
18581803,41226089,61.14
18581803,15154217,61.14
18581803,20274104,61.14
5442012,15154217,95.39
5442012,50901147,95.39
5442012,45862693,95.39
5442012,12044602,95.39
18581803,198876913,61.14
20471349,258203336,72.79
20471349,339943969,72.79
18581803,31353077,61.14
5442012,356447837,95.39
3359851,23057107,66.64
3359851,15227791,66.64
5442012,93905958,95.39
5442012,15693493,95.39
5442012,27855118,95.39
3359851,18713254,66.64
18581803,417622555,61.14
20471349,325106566,72.79
3359851,21741551,66.64
5442012,15653423,95.39
18581803,304679484,61.14
5442012,39547783,95.39
18581803,24742040,61.14
3359851,15154217,66.64
5442012,245394117,95.39
5442012,72156360,95.39
3359851,250303199,66.64
5442012,411273721,95.39
3359851,45862693,66.64
5442012,155976326,95.39
18581803,28281437,61.14
20471349,356447837,72.79
3359851,14503124,66.64
3359851,26280712,66.64
18581803,241214783,61.14
5442012,417622555,95.39
20471349,105895378,72.79
18581803,148497957,61.14
107418464,18713254,38.72
107418464,20880546,38.72
3359851,22461427,66.64
5442012,45509346,95.39
18581803,187744415,61.14
3359851,18581803,66.64
18581803,26978430,61.14
18581803,28478859,61.14
18581803,356447837,61.14
3359851,15520280,66.64
3359851,20274104,66.64
5442012,238308325,95.39
5442012,278062722,95.39
20471349,207752295,72.79
3359851,24942585,66.64
20471349,211614808,72.79
5442012,306445007,95.39
813286,16637198,71.15
813286,13763552,71.15
813286,14957147,71.15
813286,5988062,71.15
813286,8005492,71.15
813286,14647570,71.15
813286,4620451,71.15
813286,3026061,71.15
813286,14129299,71.15
813286,11317392,71.15
813286,22107142,71.15
813286,18808527,71.15
813286,16889060,71.15
813286,1046661,71.15
52758395,28184452,32.48
52758395,41147062,32.48
52758395,44134466,32.48
52758395,15519544,32.48
52758395,18194898,32.48
52758395,50115087,32.48
52758395,179644633,32.48
52758395,25565646,32.48
52758395,14091091,32.48
52758395,30258963,32.48
52758395,18746273,32.48
52758395,20060293,32.48
52758395,11348282,32.48
52758395,16580226,32.48
52758395,19802879,32.48
52758395,15102849,32.48
52758395,43166813,32.48
3359851,6480652,66.64
20273398,3359851,42.17
3359851,13687132,66.64
22679419,15234657,46.93
20273398,548679814,42.17
3359851,1715051,66.64
22679419,146930781,46.93
3359851,9275742,66.64
20273398,15913,42.17
3359851,93017945,66.64
22679419,10886182,46.93
3359851,43170475,66.64
3359851,132249368,66.64
22679419,16252002,46.93
3359851,15485441,66.64
20273398,15858135,42.17
3359851,131319392,66.64
3359851,121258930,66.64
3359851,38682272,66.64
3359851,14506253,66.64
20273398,131319392,42.17
3359851,36686415,66.64
20273398,29118453,42.17
3359851,15234657,66.64
3359851,90420314,66.64
22679419,29118453,46.93
20273398,7861312,42.17
3359851,15888142,66.64
3359851,71876190,66.64
22679419,3359851,46.93
3359851,43736146,66.64
3359851,2752851,66.64
20273398,48485771,42.17
3359851,115485051,66.64
20273398,27855118,42.17
22679419,15134782,46.93
3359851,20880546,66.64
22679419,20273398,46.93
3359851,144040563,66.64
22679419,40657605,46.93
3359851,14622632,66.64
22679419,15575251,46.93
3359851,20273398,66.64
3359851,17768307,66.64
22679419,14948898,46.93
22679419,144040563,46.93
3359851,14948898,66.64
3359851,46423291,66.64
3359851,25521487,66.64
3359851,16464746,66.64
3359851,10886182,66.64
20273398,14589257,42.17
20273398,43170475,42.17
22679419,15858135,46.93
3359851,21879024,66.64
22679419,40713842,46.93
22679419,20880546,46.93
3359851,61061751,66.64
3359851,27855118,66.64
3359851,15913,66.64
20273398,121258930,42.17
3359851,15575251,66.64
20273398,15666380,42.17
22679419,16573941,46.93
3359851,6480682,66.64
3359851,15134782,66.64
20273398,11928542,42.17
3359851,22679419,66.64
20273398,163629705,42.17
3359851,14589257,66.64
3359851,135281645,66.64
20273398,46423291,42.17
3359851,44039298,66.64
3359851,15666380,66.64
3359851,548679814,66.64
20273398,15234657,42.17
3359851,20356401,66.64
3359851,14681605,66.64
3359851,23235056,66.64
3359851,89503894,66.64
3359851,207936757,66.64
20273398,10632552,42.17
20273398,22679419,42.17
20273398,80220039,42.17
22679419,9275742,46.93
20273398,15485441,42.17
20273398,144040563,42.17
20273398,70915358,42.17
3359851,18963070,66.64
20273398,15575251,42.17
20273398,20880546,42.17
20273398,115485051,42.17
3359851,15858135,66.64
22679419,14589257,46.93
20273398,7157132,42.17
3359851,20196258,66.64
3359851,7861312,66.64
3359851,10632552,66.64
3359851,50374439,66.64
20273398,14948898,42.17
22679419,15666380,46.93
3359851,22562425,66.64
3359851,28420827,66.64
3359851,18125335,66.64
22679419,15888142,46.93
3359851,16252002,66.64
22679419,43170475,46.93
3359851,18713254,66.64
20273398,13687132,42.17
3359851,14631614,66.64
3359851,28474662,66.64
3359851,250303199,66.64
3359851,19279990,66.64
22679419,70915358,46.93
3359851,48773664,66.64
3359851,34747631,66.64
22679419,23161445,46.93
22679419,48485771,46.93
3359851,124011468,66.64
3359851,48485771,66.64
3359851,11928542,66.64
3359851,23161445,66.64
100318079,151338729,49.89
100318079,206923844,49.89
100318079,34428380,49.89
100318079,43003845,49.89
100318079,40981798,49.89
100318079,83943787,49.89
100318079,123371682,49.89
100318079,254839786,49.89
100318079,28465635,49.89
100318079,17116707,49.89
100318079,157829215,49.89
100318079,259842341,49.89
100318079,18996905,49.89
100318079,22462180,49.89
100318079,196327549,49.89
100318079,225444667,49.89
187773078,168224294,35.33
187773078,227785045,35.33
187773078,22462180,35.33
187773078,189898898,35.33
187773078,251261925,35.33
187773078,36475508,35.33
187773078,40981798,35.33
187773078,317967511,35.33
187773078,262340283,35.33
187773078,163203962,35.33
187773078,46209291,35.33
187773078,225784456,35.33
187773078,34428380,35.33
187773078,160053476,35.33
187773078,123715869,35.33
187773078,85716069,35.33
187773078,43003845,35.33
12611642,123879425,44.01
12611642,247565758,44.01
12611642,756278,44.01
12611642,20660146,44.01
12611642,28133097,44.01
12611642,114043408,44.01
17093617,5380672,42.95
12611642,23135992,44.01
17093617,9726632,42.95
12611642,6871812,44.01
12611642,122371074,44.01
12611642,16420518,44.01
17093617,87812442,42.95
17093617,16420518,42.95
17093617,16624180,42.95
12611642,10971502,44.01
17093617,14427372,42.95
17093617,16126957,42.95
17093617,239760107,42.95
12611642,134457542,44.01
17093617,13406702,42.95
17093617,273197054,42.95
17093617,15134782,42.95
12611642,20477352,44.01
12611642,16126957,44.01
17093617,85923804,42.95
12611642,67940616,44.01
17093617,65589378,42.95
17093617,18183592,42.95
12611642,14290689,44.01
17093617,128804564,42.95
12611642,17378488,44.01
12611642,131490551,44.01
17093617,10971502,42.95
12611642,15858135,44.01
12611642,90998968,44.01
12611642,163244270,44.01
17093617,15131310,42.95
12611642,9726632,44.01
17093617,23135992,42.95
12611642,65589378,44.01
17093617,17663756,42.95
12611642,15131310,44.01
12611642,29287875,44.01
12611642,17850012,44.01
12611642,7040932,44.01
12611642,17008328,44.01
17093617,14497313,42.95
12611642,16127669,44.01
17093617,165779466,42.95
17093617,103365202,42.95
17093617,14118444,42.95
17093617,3829151,42.95
12611642,22397455,44.01
12611642,3829151,44.01
17093617,28133097,42.95
12611642,18953266,44.01
17093617,17500298,42.95
17093617,16900850,42.95
17093617,14994465,42.95
21681252,23942354,34.54
16098603,82030021,38.24
20273398,15712979,42.17
5442012,46710251,95.39
16098603,84043660,38.24
5442012,9431932,95.39
16098603,131601987,38.24
20273398,49785880,42.17
5442012,16098603,95.39
43366650,34739714,32.38
16674726,16098603,44.6
16674726,141508391,44.6
20273398,5442012,42.17
20273398,34046481,42.17
5442012,127973392,95.39
16674726,28960709,44.6
16674726,43626328,44.6
16674726,20834745,44.6
21681252,52361963,34.54
16674726,26033920,44.6
16674726,123371537,44.6
5442012,21681252,95.39
5442012,14180231,95.39
20273398,121258930,42.17
16674726,8312422,44.6
16674726,161555365,44.6
16674726,199998684,44.6
16674726,25026165,44.6
5442012,25540290,95.39
21681252,141508391,34.54
5442012,29641317,95.39
16674726,102608859,44.6
16098603,14506809,38.24
16098603,65364484,38.24
5442012,227838448,95.39
16098603,27866493,38.24
5442012,70600914,95.39
21681252,36629388,34.54
21681252,131601987,34.54
5442012,155969606,95.39
43366650,14983833,32.38
5442012,75370828,95.39
20273398,21698020,42.17
16674726,27641634,44.6
16098603,14983833,38.24
5442012,268955147,95.39
21681252,25376226,34.54
5442012,159223855,95.39
21681252,25026165,34.54
5442012,352721194,95.39
16674726,14180231,44.6
16674726,21681252,44.6
16098603,59925522,38.24
16098603,155969606,38.24
43366650,265208700,32.38
5442012,91105535,95.39
21681252,15712979,34.54
5442012,144723989,95.39
5442012,164081884,95.39
5442012,16562955,95.39
16098603,36629388,38.24
43366650,187312218,32.38
16674726,309366491,44.6
16674726,14735742,44.6
16674726,18121777,44.6
16674726,26565946,44.6
16098603,15712979,38.24
